date, time (ET), away, home
12/29/2019, 13:00,  Cleveland Browns, Cincinnati Bengals
12/29/2019, 13:00,  Green Bay Packers, Detroit Lions
12/29/2019, 13:00,  Indianapolis Colts, Jacksonville Jaguars
12/29/2019, 13:00,  Los Angeles Chargers, Kansas City Chiefs
12/29/2019, 13:00,  Miami Dolphins, New England Patriots
12/29/2019, 13:00,  New Orleans Saints, Carolina Panthers
12/29/2019, 13:00,  New York Jets, Buffalo Bills
12/29/2019, 13:00,  Philadelphia Eagles, New York Giants
12/29/2019, 13:00,  Pittsburgh Steelers, Baltimore Ravens
12/29/2019, 13:00,  Tennessee Titans, Houston Texans
12/29/2019, 13:00,  Washington Redskins, Dallas Cowboys
12/29/2019, 16:25,  Arizona Cardinals, Los Angeles Rams
12/29/2019, 16:25,  Oakland Raiders, Denver Broncos
12/29/2019, 16:25,  San Francisco 49ers, Seattle Seahawks
